id,day_hour,clientip,GET,POST,HEAD,hour,no_of_client
73,2019-01-22 3,5.78.180.75,999,0,0,3,999
74,2019-01-22 3,51.15.15.54,1998,0,0,3,1998
75,2019-01-22 3,2.185.221.79,999,0,0,3,999
76,2019-01-31 21,66.249.66.212,0,3,0,21,3
77,2019-01-29 10,66.249.66.201,0,1,0,10,1
78,2019-01-22 3,54.36.149.92,996,0,0,3,996
79,2019-01-22 4,91.99.72.16,1999,999,0,4,2998
80,2019-01-22 4,66.249.66.92,2996,0,0,4,2996
81,2019-01-22 3,66.249.64.66,999,0,0,3,999
82,2019-01-31 21,31.56.96.69,0,6,0,21,6
83,2019-01-22 3,17.58.102.43,2997,0,0,3,2997
84,2019-01-22 4,204.18.198.249,997,0,0,4,997
85,2019-01-22 3,207.46.13.115,4995,1998,0,3,6993
86,2019-01-31 12,54.36.149.50,0,1,0,12,1
87,2019-01-22 3,5.211.97.39,24961,4993,3996,3,33950
88,2019-01-31 22,31.56.96.70,0,6,0,22,6
89,2019-01-26 7,31.56.96.55,0,2,0,7,2
90,2019-01-27 8,40.77.167.134,0,5,0,8,5
91,2019-01-24 5,66.249.66.196,0,1,0,5,1
92,2019-01-31 22,54.36.149.60,0,3,0,22,3
93,2019-01-22 3,91.99.72.15,11986,997,0,3,12983
94,2019-01-22 4,207.46.13.137,999,0,0,4,999
95,2019-01-27 8,66.249.66.199,0,1,0,8,1
96,2019-01-24 5,31.56.96.53,0,2,0,5,2
97,2019-01-26 7,40.77.167.133,0,5,0,7,5
98,2019-01-22 3,54.36.148.18,999,0,0,3,999
99,2019-01-31 13,31.56.96.61,0,2,0,13,2
100,2019-01-28 9,91.99.72.21,0,1,0,9,1
101,2019-01-22 3,178.253.33.51,6000,0,0,3,6000
102,2019-01-22 4,5.78.198.53,998,999,0,4,1997
103,2019-01-22 3,54.36.149.70,1000,0,0,3,1000
104,2019-01-22 3,5.160.157.20,1995,0,0,3,1995
105,2019-01-31 15,31.56.96.63,0,4,0,15,4
106,2019-01-22 3,2.177.12.140,12997,2999,0,3,15996
107,2019-01-22 3,2.179.141.98,2997,1998,0,3,4995
108,2019-01-25 6,31.56.96.54,0,2,0,6,2
109,2019-01-31 13,66.249.66.204,0,1,0,13,1
110,2019-01-31 17,91.99.72.29,0,1,0,17,1
111,2019-01-31 19,40.77.167.145,0,5,0,19,5
112,2019-01-31 18,91.99.72.30,0,1,0,18,1
113,2019-01-31 20,40.77.167.146,0,15,0,20,15
114,2019-01-27 8,54.36.149.46,0,1,0,8,1
115,2019-01-22 3,54.36.149.17,0,999,0,3,999
116,2019-01-31 14,91.99.72.26,0,1,0,14,1
117,2019-01-31 13,91.99.72.25,0,1,0,13,1
118,2019-01-22 3,34.247.132.53,1000,0,0,3,1000
119,2019-01-31 21,91.99.72.33,0,3,0,21,3
120,2019-01-22 3,54.36.148.87,999,0,0,3,999
121,2019-01-31 17,54.36.149.55,0,1,0,17,1
122,2019-01-22 3,5.112.52.254,1998,0,0,3,1998
123,2019-01-31 14,66.249.66.205,0,1,0,14,1
124,2019-01-31 23,91.99.72.36,0,4,0,23,4
125,2019-01-22 3,54.36.148.232,998,0,0,3,998
126,2019-01-22 3,157.55.39.245,1998,999,0,3,2997
127,2019-01-29 10,54.36.149.48,0,1,0,10,1
128,2019-01-22 3,54.36.149.35,999,0,0,3,999
129,2019-01-26 7,54.36.149.45,0,1,0,7,1
130,2019-01-31 18,54.36.149.56,0,1,0,18,1
131,2019-01-22 4,5.211.97.40,1998,0,0,4,1998
132,2019-01-31 12,40.77.167.138,0,5,0,12,5
133,2019-01-31 17,31.56.96.65,0,2,0,17,2
134,2019-01-22 4,2.177.12.141,1999,0,0,4,1999
135,2019-01-22 3,54.36.149.58,0,999,0,3,999
136,2019-01-31 12,66.249.66.203,0,1,0,12,1
137,2019-01-25 6,91.99.72.18,0,1,0,6,1
138,2019-01-22 3,66.111.54.249,31960,2996,0,3,34956
139,2019-01-25 6,54.36.149.44,0,1,0,6,1
140,2019-01-31 16,40.77.167.142,0,5,0,16,5
141,2019-01-22 3,54.36.149.41,999,0,0,3,999
142,2019-01-29 10,91.99.72.22,0,1,0,10,1
143,2019-01-31 22,66.249.66.213,0,3,0,22,3
144,2019-01-24 5,40.77.167.131,0,5,0,5,5
145,2019-01-22 3,66.249.66.194,21970,2997,0,3,24967
146,2019-01-31 22,40.77.167.148,0,15,0,22,15
147,2019-01-29 10,31.56.96.58,0,2,0,10,2
148,2019-01-30 11,54.36.149.49,0,1,0,11,1
149,2019-01-31 17,66.249.66.208,0,1,0,17,1
150,2019-01-29 10,40.77.167.136,0,5,0,10,5
151,2019-01-31 16,66.249.66.207,0,1,0,16,1
152,2019-01-31 17,40.77.167.143,0,5,0,17,5
153,2019-01-31 18,66.249.66.209,0,1,0,18,1
154,2019-01-31 19,54.36.149.57,0,1,0,19,1
155,2019-01-22 3,31.56.96.51,19976,999,0,3,20975
156,2019-01-31 20,31.56.96.68,0,6,0,20,6
